COUNT;Geo Local Area;Geom
3;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.077005831982, 49.268241643919]}"
1;West End;"{""type"": ""Point"", ""coordinates"": [-123.133390352222, 49.2814908203238]}"
1;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.034030007878, 49.2681977169801]}"
1;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.140028432622, 49.2114901571015]}"
1;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.085118035979, 49.2560799192668]}"
4;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.078746283144, 49.2518806656282]}"
12;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.088433011203, 49.2562656634029]}"
3;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.115220601346, 49.2648189522888]}"
2;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.100860481861, 49.2806620371206]}"
1;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.101513291435, 49.2478723340035]}"
2;West End;"{""type"": ""Point"", ""coordinates"": [-123.141142433578, 49.2879482515493]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.118820131479, 49.2810970898114]}"
7;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.10243970124, 49.282067034978]}"
7;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.102544205686, 49.2820700905971]}"
2;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.114768549121, 49.2850807857077]}"
2;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.090236062888, 49.2574025688552]}"
3;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.169623507894, 49.2643475849174]}"
1;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.078670292612, 49.2584692469399]}"
5;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.127982640884, 49.2763648066074]}"
5;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.127906478121, 49.2764134649507]}"
7;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.078218027865, 49.2827608234655]}"
2;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.123551775253, 49.2779680558057]}"
10;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.100417507406, 49.2674772743505]}"
10;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.10022596299, 49.2675799859366]}"
15;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.061061887426, 49.281440938387]}"
4;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.148161269639, 49.2726794539719]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.123720062021, 49.2807562382841]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.120461388537, 49.2828788374045]}"
5;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.125712555646, 49.2630770115648]}"
4;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.090379427424, 49.2257676376139]}"
4;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.090371355112, 49.2258598453904]}"
4;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.090372223914, 49.2259596921449]}"
3;Dunbar-Southlands;"{""type"": ""Point"", ""coordinates"": [-123.185528741508, 49.2560177850811]}"
3;West End;"{""type"": ""Point"", ""coordinates"": [-123.13168317065, 49.2803014028144]}"
2;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.109269426053, 49.2743389982692]}"
3;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.101109100879, 49.2698548486166]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.075455467258, 49.2834517087754]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.075265052051, 49.2834675835078]}"
9;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.08462663746, 49.2538813990475]}"
8;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.108858984246, 49.2830126396145]}"
1;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.04207780507, 49.2503210157691]}"
3;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.129295357422, 49.2785739029889]}"
3;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.129073709265, 49.2787198727643]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.123313297503, 49.2742312870043]}"
4;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.052998592799, 49.2391951929535]}"
2;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.025721438878, 49.2324626384628]}"
5;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.114809495197, 49.257148911682]}"
10;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.101250926461, 49.2675529882343]}"
2;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.138908965056, 49.2657189577516]}"
2;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.143779140347, 49.2673792264765]}"
2;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.186408235439, 49.264633210512]}"
1;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.091355992938, 49.2569822328547]}"
5;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.09112438106, 49.2569572381514]}"
2;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.080154640469, 49.2593776066889]}"
21;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.086981712295, 49.2627488225861]}"
6;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.107865804752, 49.2632836267244]}"
13;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.104605551032, 49.2822373252557]}"
1;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.068498703506, 49.2508091092142]}"
1;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.068500887255, 49.2508977108819]}"
9;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.089673728828, 49.2827254257291]}"
